"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"10/2023";"Sem informação";"-3";"2.772.011,64";"2.396.736,89";"216.393,43";"0,00";
"11/2023";"Sem informação";"-3";"517.818.855,73";"402.057.881,80";"63.881.008,80";"0,00";
"12/2023";"Sem informação";"-3";"306.314.933,01";"405.932.123,74";"475.986.116,37";"0,00";
"10/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"1.191.720,24";"328.766.281,70";"373.346.836,10";"615.214,22";
"02/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"35.495.318,56";"302.792.418,50";"294.335.303,00";"10.264.924,25";
"03/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"29.334.432,77";"311.396.457,01";"323.154.270,19";"4.590.031,07";
"04/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"313.083.005,33";"314.669.145,38";"300.251.228,45";"4.329.834,15";
"05/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"9.869.988,25";"340.137.876,45";"298.181.469,50";"2.588.806,08";
"06/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"8.678.594,14";"409.787.217,74";"369.892.569,75";"594.381,18";
"07/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"158.321.476,08";"331.591.044,70";"408.303.674,06";"840.460,29";
"08/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 1.231.182,37";"326.960.650,91";"324.860.278,83";"25.171.561,55";
"09/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 72.285.562,46";"326.427.864,29";"297.334.058,18";"769.817,79";
"11/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"86.548.167,40";"487.404.826,07";"422.208.958,71";"423.574,16";
"12/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"139.935.335,44";"400.651.917,75";"404.218.300,49";"5.843.858,53";
"01/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"3.710.251.858,91";"285.598.924,53";"96.008.218,60";"260.167.823,14";
"01/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"13.128.596,67";"1.378.711,16";"398.602,56";"2.876.383,11";
"02/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"9.463.461,58";"2.344.816,91";"2.129.466,43";"315.894,26";
"03/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.886.444,56";"2.520.845,15";"2.662.875,76";"401.468,81";
"04/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.082.774,28";"1.380.666,52";"1.390.591,36";"1.888.427,29";
"05/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"317.208,33";"1.790.319,23";"1.612.375,92";"2.025.612,11";
"06/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.543.315,39";"3.073.139,46";"2.710.425,69";"747.610,95";
"07/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.388.358,52";"3.230.363,96";"3.526.947,45";"1.222.662,71";
"08/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.088.646,28";"2.869.612,53";"2.931.267,82";"125.400,28";
"09/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.835.918,24";"2.602.571,53";"2.546.870,22";"320.555,83";
"10/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"309.326,69";"3.558.586,79";"3.603.003,94";"148.858,49";
"11/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.221.830,61";"3.442.081,95";"2.901.136,82";"666.531,48";
"12/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.357.405,06";"2.597.882,51";"3.061.821,83";"1.468.820,72";
"09/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"2.700.410,92";"40.620.530,97";"40.906.918,04";"133.848,01";
"02/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"- 34.634.594,31";"33.917.107,22";"35.240.546,59";"3.621.053,13";
"03/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"1.439.990,56";"40.572.568,83";"38.595.731,41";"422.944,11";
"04/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"55.262.509,09";"38.379.229,47";"38.230.639,81";"231.089,41";
"05/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"12.378.459,66";"40.067.691,12";"39.690.890,67";"390.666,78";
"06/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"7.808.330,90";"49.004.816,59";"36.773.844,21";"3.710.377,11";
"10/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"6.203.474,12";"45.314.684,69";"43.416.163,22";"286.207,29";
"11/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"3.915.876,71";"62.934.907,86";"52.459.077,38";"27.664,08";
"12/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"12.723.755,72";"50.570.168,60";"57.358.317,66";"171.510,06";
"01/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"360.083.726,37";"34.060.433,95";"11.105.278,89";"29.649.120,53";
"07/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"120.147.619,91";"42.671.789,24";"48.880.556,57";"28.422,43";
"08/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"- 446.974,09";"43.414.000,49";"43.225.141,32";"494.510,65";
"02/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"1.711.650.819,94";"367.933.825,03";"368.125.905,67";"6.241.452,81";
"03/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"325.970,70";"571.307.041,71";"571.252.690,61";"5.352.624,72";
"04/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"66.808.158,56";"305.024.718,38";"303.490.018,15";"3.039.432,41";
"05/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"13.594.057,99";"653.844.507,10";"651.728.523,39";"2.837.765,46";
"08/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"10.959.477,57";"241.306.095,03";"241.518.970,98";"1.181.130,07";
"01/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"2.760.324.869,77";"66.093.873,56";"55.509.930,86";"190.849.299,64";
"06/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"11.585.280,92";"253.950.780,89";"247.963.161,50";"930.552,62";
"07/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"11.012.413,34";"572.092.668,69";"575.577.982,43";"118.456,79";
"09/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"204.739.324,17";"485.761.802,24";"486.074.171,44";"1.167.034,23";
"10/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"5.161.968,66";"383.956.504,55";"383.548.602,02";"20.160,00";
"11/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"5.947.327,26";"378.560.076,03";"369.845.112,91";"65.520,00";
"12/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"545.596.878,90";"783.411.259,97";"785.135.043,16";"340.017,46";
"01/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"8.497.383.360,75";"167.265.150,82";"151.921.777,61";"150.992.699,78";
"02/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"16.540.942,04";"180.343.471,01";"180.213.486,84";"117.593.111,52";
"03/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"- 7.070.615,50";"642.696.516,91";"641.866.345,99";"123.856.731,62";
"04/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"46.705.334,26";"386.687.049,60";"387.004.523,77";"76.196.243,04";
"05/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"9.721.291,07";"462.597.698,92";"458.718.578,69";"88.046.122,70";
"06/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"4.530.888,44";"34.642.188,89";"28.930.909,83";"67.916,31";
"07/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"2.914.823,99";"401.124.169,81";"407.876.777,37";"93.262.025,26";
"08/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"2.053.986,89";"389.724.483,44";"389.739.170,80";"90.302.178,87";
"09/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"- 11.565.704,09";"30.755.969,86";"26.439.777,31";"1.723.369,66";
"10/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"54.772.713,32";"1.097.011.748,94";"1.097.717.479,08";"265.185.704,86";
"11/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"5.479.502,75";"398.714.498,35";"391.028.275,85";"89.456.120,97";
"12/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"- 2.800.251.334,87";"950.037.592,82";"952.580.027,85";"28.429.580,58";
"01/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"198.680.853,43";"15.271.675,08";"5.750.470,82";"14.650.299,40";
"03/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"734.725,22";"22.359.771,01";"21.858.878,90";"673.352,58";
"04/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"4.704.113,86";"20.690.573,23";"21.670.647,49";"15.183,56";
"05/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"10.712.904,33";"25.790.809,23";"21.560.681,43";"23.081,22";
"06/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"8.241.410,07";"29.717.157,50";"24.707.872,17";"844.164,03";
"07/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"9.882.025,78";"25.654.081,49";"27.015.444,61";"1.450,00";
