"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2023";"18 - Gestão ambiental";"571 - Desenvolvimento científico";"7.000,00";"253,00";"253,00";"850,00";
"01/2023";"14 - Direitos da cidadania";"242 - Assistência ao portador de deficiência";"0,00";"0,00";"0,00";"0,00";
"01/2023";"14 - Direitos da cidadania";"131 - Comunicação social";"0,00";"0,00";"0,00";"0,00";
"01/2023";"14 - Direitos da cidadania";"243 - Assistência à criança e ao adolescente";"0,00";"0,00";"0,00";"4.954.942,00";
"01/2023";"18 - Gestão ambiental";"573 - Difusão do conhecimento científico e tecnológico";"24.656,00";"7.061,01";"0,00";"432.321,40";
"01/2023";"25 - Energia";"130 - Administração de concessões";"6.264.705,77";"0,00";"0,00";"318.206,90";
"01/2023";"25 - Energia";"665 - Normalização e qualidade";"5.070.130,19";"9.408,04";"9.408,04";"0,00";
"01/2023";"18 - Gestão ambiental";"512 - Saneamento básico urbano";"802.000,00";"0,00";"0,00";"10.640.802,16";
"01/2023";"04 - Administração";"391 - Patrimônio histórico, artístico e arqueológico";"3.172.261,47";"9.013,40";"6.422,02";"1.026.824,35";
"01/2023";"10 - Saúde";"541 - Preservação e conservação ambiental";"0,00";"0,00";"0,00";"1.683.623,99";
"01/2023";"10 - Saúde";"512 - Saneamento básico urbano";"4.636,20";"4.636,20";"0,00";"9.132.482,41";
"01/2023";"26 - Transporte";"781 - Transporte aéreo";"0,00";"0,00";"0,00";"1.091.467,25";
"01/2023";"04 - Administração";"662 - Produção industrial";"212.061,63";"66.510,85";"66.418,47";"3.295.504,32";
"01/2023";"04 - Administração";"183 - Informação e inteligência";"4.424.884,30";"1.504.052,50";"1.238.374,56";"3.464.885,05";
"01/2023";"13 - Cultura";"691 - Promoção comercial";"0,00";"0,00";"0,00";"0,00";
"01/2023";"06 - Segurança pública";"482 - Habitação urbana";"0,00";"0,00";"0,00";"486.650,00";
"01/2023";"09 - Previdência social";"125 - Normatização e fiscalização";"50.000,00";"15.734,99";"1.604,86";"204.586,15";
"01/2023";"13 - Cultura";"813 - Lazer";"0,00";"0,00";"0,00";"0,00";
"01/2023";"12 - Educação";"571 - Desenvolvimento científico";"0,00";"0,00";"0,00";"36.700.000,00";
"01/2023";"07 - Relações exteriores";"573 - Difusão do conhecimento científico e tecnológico";"1.478.668,37";"16.634,91";"7.765,08";"91.998,58";
"01/2023";"14 - Direitos da cidadania";"125 - Normatização e fiscalização";"3.002.044,08";"285.052,28";"236.558,91";"2.263.014,75";
"01/2023";"04 - Administração";"092 - Representação judicial e extrajudicial";"1.221.901,29";"821.025,03";"10.541,74";"5.373.270,72";
"01/2023";"04 - Administração";"845 - Outras transferências";"0,00";"0,00";"0,00";"0,00";
"01/2023";"14 - Direitos da cidadania";"423 - Assistência aos povos indígenas";"1.264.279,86";"44.076,49";"37.442,07";"2.088.026,27";
"01/2023";"02 - Judiciária";"032 - Controle externo";"0,00";"0,00";"0,00";"2.039,54";
"01/2023";"04 - Administração";"571 - Desenvolvimento científico";"10.667.058,00";"0,00";"0,00";"0,00";
"01/2023";"28 - Encargos especiais";"847 - Transferências para a educação básica";"66.554.016.107,00";"3.319.073.882,39";"3.319.073.882,39";"4.896.862.110,42";
"01/2023";"09 - Previdência social";"846 - Outros encargos especiais";"132.107.544,83";"42.476.171,77";"42.473.495,41";"2.257,50";
"01/2023";"09 - Previdência social";"126 - Tecnologia da informação";"95.291.609,96";"53.107.352,84";"16.188.132,98";"26.881.478,84";
"01/2023";"09 - Previdência social";"128 - Formação de recursos humanos";"79.140,00";"7.949,62";"7.949,62";"0,00";
"01/2023";"09 - Previdência social";"665 - Normalização e qualidade";"0,00";"0,00";"0,00";"1.857.521,81";
"01/2023";"09 - Previdência social";"301 - Atenção básica";"0,00";"0,00";"0,00";"19.306.266,97";
"01/2023";"09 - Previdência social";"331 - Proteção e benefícios ao trabalhador";"103.956.852,87";"13.011.649,83";"52.070,29";"0,00";
"01/2023";"09 - Previdência social";"124 - Controle interno";"1.552.935,24";"144.940,85";"135.671,86";"79.178,72";
"01/2023";"09 - Previdência social";"092 - Representação judicial e extrajudicial";"4.178.412,05";"1.651.576,00";"1.444.510,50";"454.200,05";
"01/2023";"24 - Comunicações";"422 - Direitos individuais, coletivos e difusos";"0,00";"0,00";"0,00";"610.735,76";
"01/2023";"24 - Comunicações";"125 - Normatização e fiscalização";"1.024.676,41";"51.564,78";"47.009,30";"1.379.457,73";
"01/2023";"25 - Energia";"131 - Comunicação social";"0,00";"0,00";"0,00";"91.585,07";
"01/2023";"25 - Energia";"846 - Outros encargos especiais";"90.898.794,00";"4.098.500,00";"3.912.116,68";"5.893,60";
"01/2023";"25 - Energia";"125 - Normatização e fiscalização";"8.126.785,60";"316.467,63";"307.688,36";"5.600.001,11";
"01/2023";"28 - Encargos especiais";"842 - Refinanciamento da dívida externa";"11.615.590.000,00";"11.615.590.000,00";"11.615.590.000,00";"0,00";
"01/2023";"28 - Encargos especiais";"841 - Refinanciamento da dívida interna";"561.094.325.085,04";"420.309.194.470,10";"420.309.194.470,10";"0,00";
"01/2023";"28 - Encargos especiais";"844 - Serviço da dívida externa";"3.581.479.612,19";"3.581.479.612,19";"3.581.479.612,19";"0,00";
"01/2023";"28 - Encargos especiais";"843 - Serviço da dívida interna";"26.126.330.153,44";"4.945.344.752,75";"4.945.344.752,75";"1.596.700,76";
"01/2023";"08 - Assistência social";"122 - Administração geral";"1.051.925,54";"38.168,65";"34.071,68";"14.616.296,00";
"01/2023";"08 - Assistência social";"306 - Alimentação e nutrição";"11.964,52";"11.964,52";"11.964,52";"18.939.638,93";
"01/2023";"27 - Desporto e lazer";"811 - Desporto de rendimento";"1.164.468,21";"153.533,22";"153.533,22";"13.177.959,64";
"01/2023";"27 - Desporto e lazer";"812 - Desporto comunitário";"0,00";"0,00";"0,00";"51.310.253,79";
"01/2023";"03 - Essencial à justiça";"846 - Outros encargos especiais";"417.222.923,00";"24.762.311,46";"24.762.311,46";"0,00";
"01/2023";"03 - Essencial à justiça";"301 - Atenção básica";"0,00";"0,00";"0,00";"7.797.741,76";
"01/2023";"03 - Essencial à justiça";"331 - Proteção e benefícios ao trabalhador";"111.477.729,00";"6.625.667,94";"422.456,17";"0,00";
"01/2023";"03 - Essencial à justiça";"092 - Representação judicial e extrajudicial";"34.006.516,98";"3.639.605,13";"1.768.148,81";"13.627.872,72";
"01/2023";"03 - Essencial à justiça";"122 - Administração geral";"336.451,84";"70.560,01";"69.404,15";"41.571,43";
"01/2023";"25 - Energia";"751 - Conservação de energia";"2.451.573,23";"1.367.102,83";"803.375,67";"550.927,29";
"01/2023";"24 - Comunicações";"571 - Desenvolvimento científico";"0,00";"0,00";"0,00";"26.170.541,00";
"01/2023";"24 - Comunicações";"846 - Outros encargos especiais";"14.166.630,00";"3.910.010,04";"3.910.010,04";"0,00";
"01/2023";"24 - Comunicações";"301 - Atenção básica";"0,00";"0,00";"0,00";"2.190.697,18";
"01/2023";"24 - Comunicações";"331 - Proteção e benefícios ao trabalhador";"16.034.045,27";"1.927.285,86";"460.545,05";"0,00";
"01/2023";"24 - Comunicações";"122 - Administração geral";"473.408.635,30";"63.966.468,27";"8.681.787,40";"64.662.672,53";
"01/2023";"24 - Comunicações";"131 - Comunicação social";"30.000,00";"0,00";"0,00";"1.718.213,74";
"01/2023";"05 - Defesa nacional";"363 - Ensino profissional";"0,00";"0,00";"0,00";"1.462.539,49";
"01/2023";"21 - Organização agrária";"846 - Outros encargos especiais";"79.731.912,00";"5.790.364,58";"5.790.364,58";"5.526,02";
"01/2023";"21 - Organização agrária";"301 - Atenção básica";"0,00";"0,00";"0,00";"2.885.866,68";
"01/2023";"21 - Organização agrária";"422 - Direitos individuais, coletivos e difusos";"0,00";"0,00";"0,00";"2.655,00";
"01/2023";"21 - Organização agrária";"331 - Proteção e benefícios ao trabalhador";"37.660.631,85";"2.626.426,49";"26.319,58";"0,00";
"01/2023";"21 - Organização agrária";"122 - Administração geral";"393.745.633,71";"29.296.609,85";"6.849.867,90";"33.955.144,65";
"01/2023";"09 - Previdência social";"845 - Outras transferências";"127.081.203,45";"126.493.786,49";"- 19.551,07";"279.350,36";
"01/2023";"23 - Comércio e serviços";"126 - Tecnologia da informação";"0,00";"0,00";"0,00";"12.287,17";
"01/2023";"04 - Administração";"211 - Relações diplomáticas";"0,00";"0,00";"0,00";"164.184,64";
"01/2023";"04 - Administração";"121 - Planejamento e orçamento";"45.930.851,21";"33.242.271,82";"5.516.319,40";"185.926.527,34";
"01/2023";"04 - Administração";"364 - Ensino superior";"9.000,00";"0,00";"0,00";"632.590,42";
"01/2023";"04 - Administração";"127 - Ordenamento territorial";"1.648.150,39";"546.640,41";"462.513,54";"2.655.083,94";
"01/2023";"04 - Administração";"123 - Administração financeira";"1.444.619,00";"7.445,26";"6.229,17";"478.261,06";
"01/2023";"22 - Indústria";"661 - Promoção industrial";"0,00";"0,00";"0,00";"59.023,72";
"01/2023";"23 - Comércio e serviços";"691 - Promoção comercial";"0,00";"0,00";"0,00";"72.456,86";
"01/2023";"05 - Defesa nacional";"571 - Desenvolvimento científico";"0,00";"0,00";"0,00";"67.574,91";
"01/2023";"06 - Segurança pública";"421 - Custódia e reintegração social";"26.646.546,50";"1.656.042,54";"1.182.626,01";"98.627.357,60";
"01/2023";"05 - Defesa nacional";"302 - Assistência hospitalar e ambulatorial";"592.107,64";"414.884,39";"123.352,00";"2.580.974,22";
"01/2023";"23 - Comércio e serviços";"846 - Outros encargos especiais";"2.000.000,00";"817.099,64";"817.099,64";"4.422,78";
"01/2023";"23 - Comércio e serviços";"301 - Atenção básica";"0,00";"0,00";"0,00";"583.244,69";
"01/2023";"23 - Comércio e serviços";"331 - Proteção e benefícios ao trabalhador";"1.230.751,20";"545.923,21";"8.751,20";"0,00";
"01/2023";"23 - Comércio e serviços";"695 - Turismo";"0,00";"0,00";"0,00";"91.741.918,23";
"01/2023";"23 - Comércio e serviços";"122 - Administração geral";"17.714.215,88";"7.643.720,69";"2.509.143,28";"12.656.727,88";
"01/2023";"15 - Urbanismo";"131 - Comunicação social";"0,00";"0,00";"0,00";"24.060,00";
"01/2023";"26 - Transporte";"130 - Administração de concessões";"89.131,89";"11.484,64";"11.484,64";"0,00";
"01/2023";"11 - Trabalho";"846 - Outros encargos especiais";"110.456.545,00";"29.152.558,34";"29.148.272,32";"4.531,29";
"01/2023";"11 - Trabalho";"571 - Desenvolvimento científico";"141.585,54";"29.718,27";"15.784,94";"94.698,56";
"01/2023";"11 - Trabalho";"301 - Atenção básica";"0,00";"0,00";"0,00";"6.975.667,82";
"01/2023";"11 - Trabalho";"333 - Empregabilidade";"0,00";"0,00";"0,00";"212,66";
"01/2023";"11 - Trabalho";"334 - Fomento ao trabalho";"745.602.973,94";"745.602.973,94";"745.602.973,94";"1.265.915.876,65";
"01/2023";"11 - Trabalho";"331 - Proteção e benefícios ao trabalhador";"1.966.828.805,31";"1.949.453.263,48";"1.943.136.542,59";"1.928.979.479,76";
"01/2023";"11 - Trabalho";"125 - Normatização e fiscalização";"3.491.373,02";"723.389,61";"693.925,63";"1.207.508,81";
"01/2023";"14 - Direitos da cidadania";"241 - Assistência ao idoso";"0,00";"0,00";"0,00";"1.880,00";
"01/2023";"14 - Direitos da cidadania";"122 - Administração geral";"210.947.723,09";"17.897.895,99";"2.561.829,43";"30.081.239,43";
"01/2023";"14 - Direitos da cidadania";"301 - Atenção básica";"0,00";"0,00";"0,00";"1.361.388,46";
"01/2023";"14 - Direitos da cidadania";"331 - Proteção e benefícios ao trabalhador";"15.802.288,76";"996.853,20";"0,00";"0,00";
"01/2023";"03 - Essencial à justiça";"062 - Defesa do interesse público no processo judiciário";"0,00";"0,00";"0,00";"69.833,30";
