"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2021";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"323030 - AG. NAC.DO PETROLEO GAS NAT.E BIOCOM";"1 - Receitas Correntes";"13 - Receita Patrimonial";"134 - Exploração de recursos naturais";"13430241 - ROY.PETR.PLAT.-PARTILHA-COM.A P.3/12/12-PRINC";"901.272.130,00";"0,00";"0,00%";"0,00";
"2021";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170013 - SETORIAL ORCAMENTARIA E FINANCEIRA-MF";"2 - Receitas de Capital";"22 - Alienação de Bens";"222 - Alienação de bens imóveis";"22200013 - ALIENACAO DE BENS IMOVEIS-DIVIDA ATIVA";"18.955.692,00";"0,00";"0,00%";"0,00";
"2021";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170013 - SETORIAL ORCAMENTARIA E FINANCEIRA-MF";"7 - Receitas Correntes - intra-orçamentárias";"71 - Impostos, Taxas e Contribuições de Melhoria";"711 - Impostos";"71140121 - IPI-BEBIDAS-PRINCIPAL-INTRA";"0,00";"34,43";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"153173 - FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220632 - RESTIT.DESP.PRIMARIAS EX.ANTERIORES-MUL.JUR.";"0,00";"352,13";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26417 - Instituto Federal da Paraíba";"158138 - IFPB - REITORIA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19210111 - INDENIZ.P/DANOS CAUSADOS AO PATR.PUB.-PRINC.";"0,00";"258,96";"0,00%";"0,00";
"2021";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"110245 - FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"28.274.054,00";"0,00";"0,00%";"0,00";
"2021";"35000 - Ministério das Relações Exteriores";"35000 - Ministério das Relações Exteriores - Unidades com vínculo direto";"240005 - COORDENACAO-GERAL DE ORCAMENTO E FINANCAS-MRE";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"2.225.130.126,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26426 - Instituto Federal do Amapá";"158150 - INST.FED.DE EDUC.,CIENC.E TEC.DO AMAPA";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"55.653.591,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26235 - Universidade Federal de Goiás";"153052 - UNIVERSIDADE FEDERAL DE GOIAS";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"580.893.485,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia";"154043 - FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220111 - RESTITUICAO DE CONVENIOS-PRIMARIAS-PRINCIPAL";"0,00";"11.782,73";"0,00%";"0,00";
